# Data from five fictional elastic electron-proton scattering experiments
# The columns are as follows:
# Column 1: QSq [GeV^2]
# Column 2: GE^2
# Column 3: point-to-point uncorrelated uncertainty on GE^2
# 
# Note: All experiments have a 1% normalization uncertainty.
#

# Experiment 0:  Schmainz
0.003 1.00816 0.00998733
0.00310014 0.989159 0.00998032
0.00320362 1.00476 0.00997308
0.00331055 0.999541 0.00996561
0.00342105 1.00121 0.00995789
0.00353525 0.999458 0.00994992
0.00365325 0.988944 0.0099417
0.00377519 0.981443 0.00993321
0.0039012 0.993684 0.00992444
0.00403142 0.986234 0.00991539
0.00416599 0.996112 0.00990605
0.00430505 0.994864 0.0098964
0.00444874 0.985894 0.00988645
0.00459724 0.980074 0.00987617
0.00475069 0.984773 0.00986557
0.00490927 1.01338 0.00985462
0.00507313 0.982888 0.00984332
0.00524247 1.0081 0.00983167
0.00541746 0.990611 0.00981964
0.00559829 0.985451 0.00980722
0.00578516 0.978001 0.00979441
0.00597826 0.98141 0.00978119
0.00617781 0.969292 0.00976756
0.00638402 0.992899 0.00975349
0.00659711 0.959641 0.00973897
0.00681732 0.993253 0.009724
0.00704487 0.96942 0.00970855
0.00728002 0.967787 0.00969262
0.00752302 0.956851 0.00967619
0.00777414 0.974065 0.00965924
0.00803363 0.955199 0.00964176
0.00830179 0.940152 0.00962374
0.00857889 0.961132 0.00960515
0.00886525 0.953984 0.00958599
0.00916116 0.941564 0.00956623
0.00946695 0.937318 0.00954587
0.00978295 0.947073 0.00952487
0.0101095 0.952401 0.00950323
0.0104469 0.955056 0.00948093
0.0107957 0.948038 0.00945794
0.011156 0.950834 0.00943425
0.0115284 0.945341 0.00940985
0.0119132 0.941022 0.0093847
0.0123108 0.947097 0.0093588
0.0127218 0.920394 0.00933211
0.0131464 0.94425 0.00930463
0.0135852 0.938072 0.00927632
0.0140387 0.926009 0.00924718
0.0145073 0.924 0.00921717
0.0149915 0.919821 0.00918627
0.0154919 0.920052 0.00915447
0.016009 0.906035 0.00912174
0.0165434 0.909209 0.00908806
0.0170956 0.903929 0.00905339
0.0176662 0.895576 0.00901774
0.0182559 0.9015 0.00898105
0.0188653 0.886367 0.00894332
0.019495 0.877359 0.00890453
0.0201457 0.874767 0.00886463
0.0208182 0.88901 0.00882362
0.0215131 0.860488 0.00878147
0.0222312 0.867552 0.00873815
0.0229732 0.882618 0.00869364
0.02374 0.867566 0.00864791
0.0245325 0.865935 0.00860094
0.0253513 0.857607 0.00855271
0.0261975 0.836968 0.0085032
0.027072 0.833889 0.00845237
0.0279756 0.841788 0.00840021
0.0289094 0.819322 0.00834669
0.0298744 0.833248 0.00829179
0.0308716 0.820672 0.00823548
0.0319021 0.803672 0.00817776
0.0329669 0.819628 0.00811858
0.0340673 0.805495 0.00805795
0.0352045 0.801882 0.00799582
0.0363796 0.79126 0.0079322
0.0375939 0.799301 0.00786705
0.0388487 0.788559 0.00780037
0.0401455 0.761114 0.00773213
0.0414855 0.769751 0.00766232
0.0428702 0.752417 0.00759093
0.0443012 0.758796 0.00751795
0.0457799 0.739477 0.00744336
0.047308 0.73515 0.00736717
0.0488871 0.73598 0.00728935
0.050519 0.711733 0.00720992
0.0522052 0.719237 0.00712885
0.0539478 0.705939 0.00704617
0.0557485 0.697284 0.00696186
0.0576094 0.695805 0.00687593
0.0595323 0.694121 0.00678839
0.0615195 0.674977 0.00669925
0.0635729 0.66131 0.00660851
0.0656949 0.65181 0.0065162
0.0678878 0.636009 0.00642234
0.0701538 0.627659 0.00632693
0.0724955 0.611939 0.00623002
0.0749153 0.617229 0.00613163
0.0774159 0.600311 0.00603178



# Experiment 1:  SLACker
0.007 1.07171 0.0381989
0.0085 1.00239 0.0378011
0.01 0.918174 0.0374079
0.0115 0.89546 0.0370194
0.013 0.908687 0.0366354
0.0145 0.886978 0.036256
0.016 0.880832 0.0358811
0.0175 0.851188 0.0355106
0.019 0.925437 0.0351444
0.0205 0.831604 0.0347825
0.022 0.814764 0.0344248
0.0235 0.861994 0.0340713
0.025 0.843881 0.0337219
0.0265 0.840413 0.0333766
0.028 0.814092 0.0330353
0.0295 0.763852 0.032698
0.031 0.812553 0.0323645
0.0325 0.81125 0.0320349
0.034 0.797376 0.0317091
0.0355 0.827239 0.0313871
0.037 0.753695 0.0310688
0.0385 0.801243 0.0307541
0.04 0.780791 0.030443
0.0415 0.710614 0.0301355
0.043 0.705329 0.0298315
0.0445 0.763966 0.029531
0.046 0.730122 0.0292338
0.0475 0.685183 0.0289401
0.049 0.662818 0.0286497
0.0505 0.749847 0.0283626
0.052 0.704364 0.0280787
0.0535 0.641285 0.0277981
0.055 0.701964 0.0275206
0.0565 0.688012 0.0272463
0.058 0.718623 0.026975
0.0595 0.677874 0.0267067
0.061 0.651323 0.0264415
0.0625 0.654446 0.0261793
0.064 0.656394 0.0259199
0.0655 0.624 0.0256635
0.067 0.648906 0.0254099
0.0685 0.632479 0.0251592
0.07 0.642608 0.0249112
0.0715 0.636121 0.024666
0.073 0.614536 0.0244235
0.0745 0.597109 0.0241837
0.076 0.569751 0.0239465
0.0775 0.600111 0.0237119
0.079 0.567394 0.0234799
0.0805 0.600836 0.0232505
0.082 0.552 0.0230236
0.0835 0.595644 0.0227992
0.085 0.544016 0.0225772
0.0865 0.571339 0.0223577
0.088 0.537054 0.0221405
0.0895 0.563246 0.0219257
0.091 0.543176 0.0217133
0.0925 0.530591 0.0215031
0.094 0.494947 0.0212952
0.0955 0.546488 0.0210896
0.097 0.545513 0.0208862
0.0985 0.542285 0.020685



# Experiment 2:  Horsay
0.01 0.919906 0.0182377
0.015 0.894133 0.017615
0.02 0.854104 0.0170163
0.025 0.838629 0.0164407
0.03 0.788103 0.0158871
0.035 0.794463 0.0153545
0.04 0.756857 0.0148421
0.045 0.744016 0.014349
0.05 0.701031 0.0138743
0.055 0.673122 0.0134173
0.06 0.65174 0.0129773
0.065 0.611467 0.0125534
0.07 0.598056 0.0121451
0.075 0.60226 0.0117518
0.08 0.5539 0.0113726
0.085 0.536404 0.0110072
0.09 0.528365 0.010655
0.095 0.516422 0.0103153



# Experiment 3:  JayLab
0.001 0.947764 0.00943345
0.00123684 0.954127 0.00941776
0.00147368 0.935087 0.00940211
0.00171053 0.937811 0.00938648
0.00194737 0.940247 0.00937089
0.00218421 0.943293 0.00935532
0.00242105 0.939736 0.00933978
0.00265789 0.936118 0.00932428
0.00289474 0.937896 0.0093088
0.00313158 0.93653 0.00929335
0.00336842 0.937783 0.00927793
0.00360526 0.933485 0.00926254
0.00384211 0.929249 0.00924718
0.00407895 0.928533 0.00923185
0.00431579 0.927657 0.00921654
0.00455263 0.921891 0.00920127
0.00478947 0.92945 0.00918602
0.00502632 0.92373 0.00917081
0.00526316 0.904211 0.00915562
0.0055 0.897268 0.00914046
0.00573684 0.916403 0.00912533
0.00597368 0.92536 0.00911023
0.00621053 0.904146 0.00909515
0.00644737 0.910362 0.00908011
0.00668421 0.919703 0.00906509
0.00692105 0.906698 0.0090501
0.00715789 0.914675 0.00903514
0.00739474 0.917029 0.00902021
0.00763158 0.897767 0.00900531
0.00786842 0.889653 0.00899043
0.00810526 0.907772 0.00897558
0.00834211 0.892808 0.00896076
0.00857895 0.896385 0.00894597
0.00881579 0.892924 0.00893121
0.00905263 0.89979 0.00891647
0.00928947 0.88536 0.00890176
0.00952632 0.882016 0.00888708
0.00976316 0.879217 0.00887243



# Experiment 4:  Daisy
0.005 0.985336 0.0287341
0.00975 0.946525 0.0277966
0.0145 0.894696 0.0268938
0.01925 0.859451 0.0260242
0.024 0.853901 0.0251865
0.02875 0.814149 0.0243793
0.0335 0.758744 0.0236013
0.03825 0.761284 0.0228513
0.043 0.704236 0.0221282
0.04775 0.742165 0.021431
0.0525 0.715179 0.0207584
0.05725 0.676829 0.0201097
0.062 0.63559 0.0194837
0.06675 0.640246 0.0188796
0.0715 0.593827 0.0182966
0.07625 0.626566 0.0177338
0.081 0.553399 0.0171903
0.08575 0.568726 0.0166655
0.0905 0.535489 0.0161587
0.09525 0.504685 0.0156691



